wav_filename,wav_filesize,transcript
ei-13_aug9.wav,33964,ei
ei-05_aug10.wav,27884,ei
ei-05_aug17.wav,27884,ei
ei-06_aug19.wav,43564,ei
ei-14_aug2.wav,20364,ei
ei-13_aug4.wav,33964,ei
ei-09_aug1.wav,29484,ei
ei-07_aug17.wav,42924,ei
ei-14_aug3.wav,20364,ei
ei-11_aug10.wav,37164,ei
ei-13_aug5.wav,33964,ei
ei-12_aug16.wav,32364,ei
ei-10_aug17.wav,17644,ei
ei-06_aug7.wav,43564,ei
ei-11_aug8.wav,37164,ei
ei-07_aug19.wav,42924,ei
ei-04_aug10.wav,39404,ei
ei-03_aug9.wav,34924,ei
ei-03_aug16.wav,34924,ei
ei-08_aug3.wav,28844,ei
ei-10_aug11.wav,17644,ei
ei-09_aug14.wav,29484,ei
ei-13_aug13.wav,33964,ei
ei-07_aug10.wav,42924,ei
ei-10_aug10.wav,17644,ei
ei-03_aug17.wav,34924,ei
ei-09_aug18.wav,29484,ei
ei-07_aug20.wav,42924,ei
ei-11_aug11.wav,37164,ei
ei-05_aug8.wav,27884,ei
ei-07_aug8.wav,42924,ei
ei-05_aug7.wav,27884,ei
ei-06_aug12.wav,43564,ei
ei-12_aug14.wav,32364,ei
ei-05_aug19.wav,27884,ei
ei-08_aug18.wav,28844,ei
ei-03_aug13.wav,34924,ei
ei-12_aug18.wav,32364,ei
ei-12_aug8.wav,32364,ei
ei-08_aug5.wav,28844,ei
ei-10_aug2.wav,17644,ei
ei-06_aug16.wav,43564,ei
ei-05_aug14.wav,27884,ei
ei-05_aug3.wav,27884,ei
ei-08_aug6.wav,28844,ei
ei-13_aug6.wav,33964,ei
ei-07_aug16.wav,42924,ei
ei-12_aug15.wav,32364,ei
ei-07_aug13.wav,42924,ei
ei-08_aug14.wav,28844,ei
ei-13_aug14.wav,33964,ei
ei-11_aug17.wav,37164,ei
ei-04_aug19.wav,39404,ei
ei-04_aug6.wav,39404,ei
ei-06_aug14.wav,43564,ei
ei-05_aug12.wav,27884,ei
ei-06_aug8.wav,43564,ei
ei-09_aug15.wav,29484,ei
ei-06_aug11.wav,43564,ei
ei-06_aug5.wav,43564,ei
ei-13_aug15.wav,33964,ei
ei-08_aug2.wav,28844,ei
ei-11_aug15.wav,37164,ei
ei-14_aug15.wav,20364,ei
ei-03_aug14.wav,34924,ei
ei-04_aug4.wav,39404,ei
ei-05_aug16.wav,27884,ei
ei-12_aug7.wav,32364,ei
ei-07_aug9.wav,42924,ei
ei-09_aug9.wav,29484,ei
ei-08_aug7.wav,28844,ei
ei-04_aug15.wav,39404,ei
ei-10_aug6.wav,17644,ei
ei-10_aug20.wav,17644,ei
ei-05_aug6.wav,27884,ei
ei-10_aug8.wav,17644,ei
ei-13_aug20.wav,33964,ei
ei-03_aug20.wav,34924,ei
ei-11_aug4.wav,37164,ei
ei-14_aug12.wav,20364,ei
ei-10_aug1.wav,17644,ei
ei-08_aug15.wav,28844,ei
ei-03_aug15.wav,34924,ei
ei-13_aug19.wav,33964,ei
ei-07_aug5.wav,42924,ei
ei-08_aug10.wav,28844,ei
ei-12_aug3.wav,32364,ei
ei-13_aug1.wav,33964,ei
ei-07_aug14.wav,42924,ei
ei-05_aug1.wav,27884,ei
ei-08_aug4.wav,28844,ei
ei-14_aug1.wav,20364,ei
ei-07_aug4.wav,42924,ei
ei-10_aug18.wav,17644,ei
ei-12_aug12.wav,32364,ei
ei-12_aug13.wav,32364,ei
ei-09_aug12.wav,29484,ei
ei-05_aug20.wav,27884,ei
ei-07_aug6.wav,42924,ei
ei-09_aug10.wav,29484,ei
ei-13_aug7.wav,33964,ei
ei-13_aug10.wav,33964,ei
ei-14_aug16.wav,20364,ei
ei-04_aug5.wav,39404,ei
ei-13_aug17.wav,33964,ei
ei-05_aug2.wav,27884,ei
ei-13_aug8.wav,33964,ei
ei-13_aug3.wav,33964,ei
ei-14_aug14.wav,20364,ei
ei-09_aug8.wav,29484,ei
ei-08_aug1.wav,28844,ei
ei-08_aug13.wav,28844,ei
ei-10_aug14.wav,17644,ei
ei-10_aug19.wav,17644,ei
ei-08_aug8.wav,28844,ei
ei-13_aug11.wav,33964,ei
ei-13_aug12.wav,33964,ei
ei-11_aug9.wav,37164,ei
ei-05_aug18.wav,27884,ei
ei-06_aug10.wav,43564,ei
ei-09_aug20.wav,29484,ei
ei-06_aug13.wav,43564,ei
ei-12_aug17.wav,32364,ei
ei-06_aug1.wav,43564,ei
ei-09_aug7.wav,29484,ei
ei-12_aug19.wav,32364,ei
ei-04_aug13.wav,39404,ei
ei-08_aug20.wav,28844,ei
ei-05_aug15.wav,27884,ei
ei-04_aug17.wav,39404,ei
ei-13_aug16.wav,33964,ei
ei-09_aug11.wav,29484,ei
ei-04_aug14.wav,39404,ei
ei-04_aug18.wav,39404,ei
ei-14_aug7.wav,20364,ei
ei-11_aug2.wav,37164,ei
ei-08_aug17.wav,28844,ei
ei-12_aug4.wav,32364,ei
ei-08_aug16.wav,28844,ei
ei-06_aug9.wav,43564,ei
ei-10_aug9.wav,17644,ei
ei-14_aug10.wav,20364,ei
ei-13_aug2.wav,33964,ei
ei-10_aug15.wav,17644,ei
ei-11_aug1.wav,37164,ei
ei-08_aug9.wav,28844,ei
ei-11_aug20.wav,37164,ei
ei-12_aug20.wav,32364,ei
ei-14_aug8.wav,20364,ei
ei-12_aug2.wav,32364,ei
ei-11_aug12.wav,37164,ei
ei-05_aug4.wav,27884,ei
ei-06_aug20.wav,43564,ei
ei-10_aug16.wav,17644,ei
ei-03_aug10.wav,34924,ei
ei-11_aug7.wav,37164,ei
ei-05_aug11.wav,27884,ei
ei-04_aug2.wav,39404,ei
ei-04_aug16.wav,39404,ei
ei-09_aug4.wav,29484,ei
ei-06_aug6.wav,43564,ei
ei-14_aug9.wav,20364,ei
ei-11_aug6.wav,37164,ei
ei-11_aug16.wav,37164,ei
ei-04_aug7.wav,39404,ei
ei-03_aug12.wav,34924,ei
ei-12_aug10.wav,32364,ei
ei-07_aug12.wav,42924,ei
ei-04_aug3.wav,39404,ei
ei-10_aug7.wav,17644,ei
ei-14_aug6.wav,20364,ei
ei-09_aug3.wav,29484,ei
ei-08_aug11.wav,28844,ei
ei-09_aug16.wav,29484,ei
ei-12_aug9.wav,32364,ei
ei-12_aug6.wav,32364,ei
ei-10_aug13.wav,17644,ei
ei-09_aug17.wav,29484,ei
ei-06_aug2.wav,43564,ei
ei-03_aug19.wav,34924,ei
ei-11_aug18.wav,37164,ei
ei-11_aug14.wav,37164,ei
ei-10_aug4.wav,17644,ei
ei-09_aug6.wav,29484,ei
ei-09_aug2.wav,29484,ei
ei-11_aug5.wav,37164,ei
ei-10_aug3.wav,17644,ei
ei-07_aug11.wav,42924,ei
ei-04_aug20.wav,39404,ei
ei-09_aug13.wav,29484,ei
ei-13_aug18.wav,33964,ei
ei-09_aug5.wav,29484,ei
ei-03_aug18.wav,34924,ei
ei-14_aug4.wav,20364,ei
ei-12_aug1.wav,32364,ei
ei-07_aug7.wav,42924,ei
ei-12_aug5.wav,32364,ei
ei-06_aug3.wav,43564,ei
ei-10_aug5.wav,17644,ei
ei-07_aug1.wav,42924,ei
ei-05_aug5.wav,27884,ei
ei-10_aug12.wav,17644,ei
